S,Curvature,Collision_Distance,Pitch,Roll
853.305,0.0685574,1.26657,0.209733,-1.80997
861.21,0.0340036,1.11449,1.54444,0.0536764
869.942,0.00579468,1.66721,-0.493803,-1.14159
872.873,0.00829553,1.5109,-0.509641,-1.17425
882.802,0.00623143,0.994872,0.274068,27.6498
892.535,0.00769077,1.26796,0.121962,2.15533
900.286,0.0137998,1.10821,0.832152,-3.5652
909.285,0.00902798,0.799598,-0.145983,-11.84
914.157,0.0288891,1.65297,0.375872,0.727778
920.992,0.0179845,2.02354,0.480452,-1.66489
926.502,0.00510406,1.88953,0.220922,1.38258
935.928,0.00356484,2.0468,-1.3653,-0.249211
945.484,0.0720633,0.670626,4.85451,23.5291
954.484,0.0168347,0.949251,0.242189,-5.55899
963.009,0.0355233,1.75979,0.788557,-0.651652
971.291,0.0355233,1.2868,-nan,-nan
