S,Curvature,Collision_Distance,Pitch,Roll
64.7765,3.12792e-14,1.2,-1.06993,1.12655
65.3421,1.58114,0.894427,0.753943,0.100384
65.7421,0,1.13137,0.436846,1.49927
66.1421,0,1.2,-0.768877,-0.310302
66.5421,0,1.2,-0.471155,-0.0274698
66.9421,0,1.2,-0.668672,-0.812998
67.3421,0,1.26491,-0.524158,-0.431594
67.7421,0,1.2,0.305375,1.37315
68.1421,0,1.26491,0.674755,0.38567
68.5421,0,1.44222,0.78376,-0.229879
68.9421,0,1.6,0.437327,0.0181559
69.3421,0,1.6,0.385288,-0.2382
69.7421,0,1.6,0.339986,0.725172
70.1421,0,1.6,0.645471,0.981759
70.5421,0,1.6,0.938061,0.138653
70.9421,0,1.6,1.66062,0.242273
71.3421,0,1.6,0.51878,0.985124
71.7421,0,1.64924,0.282195,0.531502
72.1421,0,1.78885,1.11544,-1.41319
72.5421,0,2,1.00348,-1.95533
72.9421,0,2,-0.405549,-0.626058
73.3421,1.58114,2,1.47322,1.0869
73.9078,9.41442e-14,1.6,1.3686,1.77919
74.4735,1.58114,1.26491,-0.199021,1.55357
74.8735,0,1.44222,-0.0742981,0.752717
75.2735,0,1.6,0.957934,-1.26722
75.6735,0,1.64924,-0.333472,0.801101
76.0735,0,1.78885,0.254572,0.46438
76.4735,0,2,-1.35941,0.0968273
76.8735,0,2,-3.4143,1.27059
77.2735,0,2.03961,-1.16271,2.67026
77.6735,0,2,0.230077,2.15653
78.0735,0,2,-0.499785,1.50661
78.4735,0,2,-0.828337,0.750395
78.8735,0,2,-1.45038,-0.287675
79.2735,0,2.03961,0.0985632,-1.44364
79.6735,0,2,1.22711,-1.54074
80.0735,0,2,-0.652172,0.156101
80.4735,0,2,0.264508,0.201466
80.8735,0,1.78885,0.237676,-0.693318
81.2735,0,1.64924,-0.288572,-0.577066
81.6735,0,1.6,0.194883,0.097175
82.0735,0,1.6,1.95041,-0.12159
82.4735,0,1.6,0.0921932,-0.207725
82.8735,0,1.6,0.494867,1.30433
83.2735,0,1.6,-0.634233,0.789017
83.6735,0,1.44222,-0.223053,0.498419
84.0735,0,1.26491,0.302348,0.180714
84.4735,0,1.2,-0.448852,-1.43464
84.8735,0,1.2,0.106156,-0.691865
85.2735,0,1.2,0.0278456,1.11521
85.6735,0,1.2,-0.830486,0.890318
86.0735,0,1.13137,0.115833,-0.0318908
86.4735,0,0.894427,0.401048,nan
86.8735,0,0.8,-0.186018,nan
87.2735,0,0.8,0.736278,nan
87.6735,0,0.8,-0.707706,nan
88.0735,0,0.8,-0.0369909,nan
88.4735,0,0.8,-0.320962,nan
88.8735,0,0.8,0.383872,nan
89.2735,0,0.565685,-0.191533,nan
89.6735,0,0.4,0.758789,nan
90.0735,0,0.4,-0.50256,nan
90.4735,0,0.4,-0.441656,nan
90.8735,0,0.4,-0.710416,nan
91.2735,0,0.565685,0.137409,nan
91.6735,0,0.4,0.7134,nan
92.0735,1.58114,0.4,nan,nan
92.6392,1.58114,0.4,0.373006,nan
93.0392,0,0.565685,0.250891,nan
93.4392,0,0.4,-1.28606,nan
93.8392,0,0.4,-0.0189304,nan
94.2392,0,0.4,0.701335,nan
94.6392,0,0.4,-0.972321,nan
95.0392,1.58114,0.4,nan,nan
95.6049,1.58114,0.4,0.0272279,nan
96.0049,0,0.4,0.125388,nan
96.4049,0,0.4,-1.34734,nan
96.8049,0,0.4,-1.84592,nan
97.2049,0,0.4,-0.131082,nan
97.6049,0,0.4,0.746718,nan
98.0049,1.58114,0.4,nan,nan
98.5706,1.58114,0.4,-0.700112,nan
98.9706,0,0.4,-2.80286,nan
99.3706,0,0.4,-0.359513,nan
99.7706,0,0.4,0.318359,nan
100.171,0,0.4,0.0610331,nan
100.571,1.58114,0.4,nan,nan
101.136,1.58114,0.4,0.262956,nan
101.536,0,0.4,-0.264192,nan
101.936,0,0.4,0.00102093,nan
102.336,0,0.4,0.647678,nan
102.736,0,0.4,2.08065,nan
103.136,0,0.4,0.334895,nan
103.536,0,0.4,nan,nan
103.936,1.58114,0.4,nan,nan
104.502,1.58114,0.4,0.200257,nan
104.902,0,0.4,0.379076,nan
105.302,0,0.4,-1.26843,nan
105.702,0,0.4,-0.946833,nan
106.102,0,0.4,-0.10581,nan
106.502,1.58114,0.4,nan,nan
107.068,1.58114,0.4,-0.421717,nan
107.468,0,0.4,-0.0337915,nan
107.868,0,0.4,-0.301262,nan
108.268,0,0.565685,0.41038,nan
108.668,0,0.4,-0.00944723,nan
109.068,0,0.4,0.350605,nan
109.468,1.58114,0.4,nan,nan
110.033,1.58114,0.4,-0.334545,nan
110.433,0,0.565685,0.30989,nan
110.833,0,0.4,-0.918692,nan
111.233,0,0.4,-0.123648,nan
111.633,0,0.4,0.171006,nan
112.033,1.58114,0.4,nan,nan
112.599,1.58114,0.4,0.192013,nan
112.999,0,0.4,0.167117,nan
113.399,0,0.4,1.07026,nan
113.799,0,0.4,1.63188,nan
114.199,0,0.4,0.428038,nan
114.599,0,0.4,-0.330884,nan
114.999,1.58114,0.4,nan,nan
115.565,1.58114,0.4,0.208614,nan
115.965,0,0.4,0.0925239,nan
116.365,0,0.4,0.629294,nan
116.765,0,0.4,-0.558812,nan
117.165,0,0.4,0.0272201,nan
117.565,0,0.4,-0.691058,nan
117.965,1.58114,0.4,nan,nan
118.53,1.58114,0.4,-0.559019,nan
118.93,0,0.4,-0.211132,nan
119.33,0,0.4,0.809053,nan
119.73,0,0.4,-0.608781,nan
120.13,1.58114,0.4,nan,nan
120.696,1.58114,0.4,0.809493,nan
121.096,0,0.565685,-0.0832277,nan
121.496,0,0.4,0.613401,nan
121.896,0,0.4,0.310127,nan
122.296,0,0.4,0.552219,nan
122.696,0,0.4,-1.05936,nan
123.096,1.58114,0.4,nan,nan
123.662,1.58114,0.4,0.387009,nan
124.062,0,0.4,0.225152,nan
124.462,0,0.4,0.371793,nan
124.862,0,0.4,0.234829,nan
125.262,0,0.4,0.0657568,nan
125.662,0,0.4,-0.034665,nan
126.062,0,0.4,-0.219792,nan
126.462,1.58114,0.4,nan,nan
127.027,1.58114,0.4,0.690496,nan
127.427,0,0.4,1.09056,nan
127.827,0,0.4,1.35744,nan
128.227,0,0.4,-1.09311,nan
128.627,0,0.4,-0.839905,nan
129.027,0,0.4,-0.708363,nan
129.427,0,0.4,nan,nan
129.827,1.58114,0.4,nan,nan
130.393,1.58114,0.4,nan,nan
130.793,0,0.4,-0.0721412,nan
131.193,0,0.4,-0.989667,nan
131.593,0,0.565685,-1.91269,nan
131.993,0,0.4,0.795177,nan
132.393,1.58114,0.4,nan,nan
132.959,1.58114,0.4,-0.41218,nan
133.359,0,0.4,-0.706652,nan
133.759,0,0.4,-0.429336,nan
134.159,0,0.4,-0.100289,nan
134.559,1.58114,0.4,nan,nan
135.124,1.58114,0.4,-0.448894,nan
135.524,0,0.4,-0.0421782,nan
135.924,0,0.4,-0.659821,nan
136.324,0,0.4,0.310494,nan
136.724,0,0.4,0.512115,nan
137.124,0,0.4,0.213228,nan
137.524,1.58114,0.4,nan,nan
138.09,1.58114,0.4,0.103384,nan
138.49,0,0.4,0.355958,nan
138.89,0,0.4,0.941991,nan
139.29,0,0.4,0.32588,nan
139.69,0,0.4,0.612678,nan
140.09,0,0.565685,-0.242123,nan
140.49,1.58114,0.4,nan,nan
141.056,1.58114,0.4,0.152695,nan
141.456,0,0.4,-0.246883,nan
141.856,0,0.4,0.166912,nan
142.256,0,0.4,0.159061,nan
142.656,0,0.4,0.518913,nan
143.056,0,0.4,0.20144,nan
143.456,1.58114,0.4,nan,nan
144.022,1.58114,0.4,0.853361,nan
144.422,0,0.4,2.40975,nan
144.822,0,0.4,0.695882,nan
145.222,0,0.4,-0.196472,nan
145.622,0,0.4,0.760378,nan
146.022,1.58114,0.4,nan,nan
146.587,1.58114,0.4,-0.738444,nan
146.987,0,0.4,-0.446174,nan
147.387,0,0.4,-0.745923,nan
147.787,0,0.4,-0.147072,nan
148.187,0,0.4,-1.11855,nan
148.587,0,0.4,-0.189631,nan
148.987,0,0.4,-0.106957,nan
149.387,0,0.4,nan,nan
149.787,1.58114,0.4,nan,nan
150.353,1.58114,0.4,nan,nan
150.753,0,0.4,-0.848824,nan
151.153,0,0.4,-0.262459,nan
151.553,0,0.565685,-0.565567,nan
151.953,1.58114,0.4,nan,nan
152.519,1.58114,0.4,-0.201015,nan
152.919,0,0.4,0.796133,nan
153.319,0,0.4,1.90868,nan
153.719,0,0.4,-1.1423,nan
154.119,0,0.4,-0.304807,nan
154.519,1.58114,0.4,nan,nan
155.084,1.58114,0.4,0.462045,nan
155.484,0,0.4,-0.289802,nan
155.884,0,0.4,-0.285944,nan
156.284,0,0.4,-0.0922112,nan
156.684,0,0.4,0.656687,nan
157.084,0,0.4,-0.366516,nan
157.484,1.58114,0.4,nan,nan
158.05,1.58114,0.4,0.195871,nan
158.45,0,0.4,0.374863,nan
158.85,0,0.4,-0.812253,nan
159.25,0,0.4,-0.466805,nan
159.65,0,0.4,0.148467,nan
160.05,0,0.4,0.0976897,nan
160.45,0,0.4,-0.341057,nan
160.85,1.58114,0.4,nan,nan
161.416,1.58114,0.4,nan,nan
161.816,0,0.4,0.129166,nan
162.216,0,0.565685,0.43067,nan
162.616,0,0.4,0.0396798,nan
163.016,0,0.4,0.397388,nan
163.416,1.58114,0.4,nan,nan
163.981,1.58114,0.4,-0.888936,nan
164.381,0,0.4,-1.28658,nan
164.781,0,0.4,0.256477,nan
165.181,0,0.4,0.327433,nan
165.581,0,0.565685,1.75464,nan
165.981,1.58114,0.4,nan,nan
166.547,1.58114,0.4,-0.283565,nan
166.947,0,0.4,-0.94061,nan
167.347,0,0.4,0.23127,nan
167.747,0,0.4,0.846189,nan
168.147,0,0.4,0.00882892,nan
168.547,0,0.4,0.219325,nan
168.947,0,0.4,nan,nan
169.347,0,0.4,nan,nan
169.747,1.58114,0.4,nan,nan
170.313,1.58114,0.4,1.09483,nan
170.713,0,0.4,0.724023,nan
171.113,0,0.4,0.738471,nan
171.513,0,0.4,-0.349217,nan
171.913,1.58114,0.4,nan,nan
172.478,1.58114,0.4,0.124682,nan
172.878,0,0.4,0.466687,nan
173.278,0,0.4,-1.12979,nan
173.678,0,0.4,-1.7615,nan
174.078,0,0.4,-2.0539,nan
174.478,0,0.4,-0.973817,nan
174.878,0,0.4,nan,nan
175.278,1.58114,0.4,nan,nan
175.844,1.58114,0.4,nan,nan
176.244,0,0.4,-0.224508,nan
176.644,0,0.4,-0.157688,nan
177.044,1.58114,0.4,nan,nan
177.61,1.58114,0.4,1.0354,nan
178.01,0,0.4,0.46816,nan
178.41,0,0.4,0.166301,nan
178.81,0,0.4,-0.131363,nan
179.21,0,0.4,-1.18032,nan
179.61,0,0.4,-0.427488,nan
180.01,0,0.4,-0.187985,nan
180.41,1.58114,0.4,nan,nan
180.975,1.58114,0.4,-0.318325,nan
181.375,0,0.4,0.353262,nan
181.775,0,0.565685,-0.301895,nan
182.175,0,0.4,-1.39012,nan
182.575,0,0.4,-1.26473,nan
182.975,0,0.4,-0.195735,nan
183.375,1.58114,0.4,nan,nan
183.941,1.58114,0.4,0.104262,nan
184.341,0,0.4,0.502527,nan
184.741,0,0.4,-0.15034,nan
185.141,0,0.4,-0.307406,nan
185.541,0,0.565685,0.32415,nan
185.941,0,0.4,0.0435478,nan
186.341,0,0.4,nan,nan
186.741,0,0.4,nan,nan
187.141,0,0.4,nan,nan
187.541,1.58114,0.4,nan,nan
188.107,1.58114,0.4,nan,nan
188.507,1.58114,0.4,nan,nan
189.072,1.58114,0.4,0.508765,nan
189.472,0,0.4,0.609561,nan
189.872,0,0.4,0.454392,nan
190.272,0,0.4,-3.35331,nan
190.672,0,0.4,-5.36188,nan
191.072,0,0.4,-2.67109,nan
191.472,1.58114,0.4,nan,nan
192.038,1.58114,0.4,-1.38834,nan
192.438,0,0.4,-0.613422,nan
192.838,0,0.4,0.308822,nan
193.238,0,0.4,-1.09022,nan
193.638,0,0.4,0.406048,nan
194.038,0,0.4,0.426018,nan
194.438,1.58114,0.4,nan,nan
195.004,1.58114,0.4,0.435943,nan
195.404,0,0.4,0.115326,nan
195.804,0,0.4,-0.231407,nan
196.204,0,0.4,-1.15783,nan
196.604,0,0.4,-2.39235,nan
197.004,0,0.4,-0.564237,nan
197.404,0,0.4,0.753325,nan
197.804,1.58114,0.4,nan,nan
198.37,1.58114,0.4,-0.881533,nan
198.77,0,0.4,5.26254,nan
199.17,0,0.4,0.821646,nan
199.57,0,0.4,-0.0281044,nan
199.97,1.58114,0.4,nan,nan
200.535,1.58114,0.4,0.226876,nan
200.935,0,0.4,0.61376,nan
201.335,0,0.4,0.70855,nan
201.735,0,0.565685,0.954401,nan
202.135,0,0.4,-3.23506,nan
