S,Curvature,Collision_Distance,Pitch,Roll
48.732,1.08249e-06,1.8,-0.197687,-0.712977
49.132,1.58114,1.8,-1.02317,1.44413
49.6977,1.58114,1.95711,-0.0939548,0.233684
50.0977,2.9888e-06,1.87933,-1.11294,0.601336
50.4977,1.58114,1.82221,0.267133,-0.0319789
51.0634,1.58114,1.94721,1.18875,-1.78247
51.4634,6.17334e-07,1.85952,1.67025,-0.3926
51.8634,2.31633e-07,1.81231,1.51707,0.169836
52.2634,4.14673e-08,1.8,2.52051,1.20566
52.6634,2.30587e-08,1.8,0.81799,0.891361
53.0634,1.58114,1.8,0.429103,2.35255
53.6291,1.58114,1.94721,0.0883387,1.55255
54.0291,1.07155e-08,1.94721,-0.774521,-1.99094
54.4291,6.79901e-09,1.85952,-0.364143,0.661986
54.8291,4.11031e-09,1.81231,-0.21953,-0.874918
55.2291,3.06617e-09,1.8,-1.62302,-0.76377
55.6291,1.86944e-09,1.8,-2.54087,-0.788185
56.0291,1.17115e-09,1.8,-2.94422,2.48345
56.4291,2.53735e-09,1.8,-1.68447,1.33241
56.8291,1.05604e-09,1.8,-0.610737,3.48373
57.2291,1.58114,1.70777,1.16517,-1.34363
57.7948,1.58114,1.80674,-0.224812,-1.04947
58.1948,4.12115e-10,1.81231,0.991454,-0.359815
58.5948,2.30767e-09,1.82221,0.498016,0.276312
58.9948,5.31184e-09,1.82221,-0.217445,-0.0961939
59.3948,1.24292e-09,1.8,-0.367465,-0.283987
59.7948,1.58114,1.81231,1.24672,-0.371665
60.3604,1.58114,1.94721,0.50182,-1.46097
60.7604,3.79874e-09,1.85952,-0.492882,-2.02691
61.1604,5.00169e-09,1.81231,-0.65714,4.01884
61.5604,2.53141e-05,1.8,-1.48787,-1.79495
61.9604,1.58115,1.8,0.149781,-1.04305
62.5261,1.58114,1.89443,-0.130076,1.27944
62.9261,3.81378e-08,1.85952,-1.07585,0.42469
63.3261,5.71045e-09,1.81231,0.25857,1.10462
63.7261,6.19398e-09,1.8,-0.092603,-2.10483
64.1261,7.47704e-09,1.8,0.992532,-0.084595
64.5261,1.58114,1.8,-0.617216,-0.198011
65.0918,1.58114,2,-0.0903126,-1.11151
65.4918,1.28138e-07,1.94721,-0.140314,-0.970172
65.8918,1.05129e-06,1.86942,0.32982,-2.29149
66.2918,8.51567e-06,1.82221,-0.147955,-0.34069
66.6918,1.78481e-06,1.8,0.549665,1.53371
67.0918,2.91233e-06,1.8,0.246347,3.12434
67.4918,2.52344e-06,1.8,0.342157,1.87277
67.8918,1.39011e-06,1.8,0.819558,1.23691
68.2918,1.58114,1.8,0.607745,2.32439
68.8575,1.58114,2,-0.670771,-0.233536
69.2575,4.482e-08,1.94721,-1.26749,-0.426403
69.6575,2.28997e-08,1.85952,1.40101,-0.90296
70.0575,2.78735e-08,1.81231,1.67439,-0.733791
70.4575,1.86757e-08,1.8,0.456042,0.0501957
70.8575,9.6616e-09,1.8,1.63374,-0.926457
71.2575,1.58114,1.8,0.0770508,-0.227628
71.8232,1.58114,1.94721,2.01549,-1.204
72.2232,1.82716e-09,1.85952,-0.384979,-0.618048
72.6232,2.09166e-09,1.81231,0.193172,-1.80322
73.0232,1.74083e-10,1.8,0.493716,1.92471
73.4232,1.58114,1.8,1.46082,-0.275055
73.9889,1.58114,1.89443,-1.01037,-2.81718
74.3889,1.96447e-09,1.86943,0.233679,-0.17155
74.7889,1.27365e-10,1.82221,1.00726,0.491676
75.1889,1.58114,1.8,-1.08605,0.716976
75.7546,1.58114,2,-1.13025,2.47958
76.1546,9.01856e-10,2.0099,-2.94583,3.80822
76.5546,7.26708e-10,2.0099,0.191303,4.15033
76.9546,3.96838e-10,2,0.00276083,2.98304
77.3546,4.19398e-10,2,-1.39595,1.83757
77.7546,4.66827e-10,1.94721,-0.688343,0.349011
78.1546,7.61879e-10,1.86943,-1.90529,0.127886
78.5546,2.48156e-05,1.82221,0.792201,-1.03969
78.9546,2.45976e-05,1.8,-0.775307,-0.0437858
79.3546,1.58114,1.8,-0.175425,-0.334563
79.9202,1.58114,1.94721,0.282431,0.265081
80.3202,6.30145e-09,1.85952,-0.121937,-1.76136
80.7202,1.07079e-09,1.81231,-0.6489,-1.12124
81.1202,2.62634e-09,1.8,1.19552,3.02786
81.5202,4.65779e-09,1.8,1.34326,-1.99228
81.9202,1.73852e-08,1.8,-0.039155,1.23609
82.3202,1.58114,1.8,0.340967,0.926867
82.8859,1.58114,1.89443,-0.327204,0.554813
83.2859,8.32479e-06,1.85952,0.769675,1.01125
83.6859,1.73196e-06,1.81231,0.354714,-1.50812
84.0859,2.84725e-06,1.8,0.521742,-2.57979
