S,Curvature,Collision_Distance,Pitch,Roll
278.471,0,1.64924,0.698223,-0.305985
283.671,0.251896,2.03961,-0.687305,-0.3298
284.237,0.5,1.64924,-0.264301,3.5832
286.637,0.5,1.6,-2.96426,0.069754
287.203,0.857493,1.2,-0.660463,-7.60436
288.403,0.656532,1.44222,0.202317,0.201209
289.534,0.25,1.6,0.0557148,0.280396
294.334,0.231125,2.33238,0.00948396,0.693023
296.031,0.174821,1.6,0.143197,0.141249
302.831,0.174821,2.52982,-0.697728,-0.380649
304.528,0.204808,1.64924,-0.872932,0.0157818
310.128,0.204808,1.78885,1.23879,-0.994196
311.825,0.166667,2,0.812035,0.406982
319.025,0.175899,1.2,-0.0828555,7.9201
320.157,0.428746,2,-1.05694,1.13121
322.557,0.5,1.6,0.145619,11.9873
323.122,0.857493,2,0.213981,2.55468
324.322,0.527046,2.03961,0.381029,5.3582
326.02,0.264999,2.43311,1.93772,-0.4006
330.02,0.223607,1.64924,0.00745252,2.24555
332.848,0.171499,1.6,-2.25754,-7.19742
338.848,0.182089,1.44222,-1.16434,10.3388
341.111,0.191741,1.6,-0.644723,0.819703
346.711,0.204808,1.44222,0.334126,2.676
348.408,0.310087,2.03961,-0.190411,-0.325384
351.608,0.346688,2.15407,0.580846,0.660412
352.739,0.980581,2.82843,-1.96973,-3.36739
353.139,0.383482,2.8,-0.567109,-0.196538
356.533,0.263523,2.33238,0.191345,2.18012
358.933,0.5,2.68328,-1.45539,-2.21212
359.499,0.857493,2.91204,0.817878,-2.43922
360.699,0.656532,2.8,-2.21724,0.61405
361.83,0.485643,3.68782,2.22338,-1.71934
363.83,0.196116,3.79473,-0.372251,4.73943
369.487,5.43755e-16,4.47214,2.62002,0.165354
375.71,0.133918,4.81664,2.95738,1.26253
380.91,0.121626,2.8,0.282466,4.97052
388.264,0.153574,1.44222,-1.10706,23.9104
390.664,0.428746,2.15407,0.158037,-3.38512
391.795,0.656532,2,-1.20896,1.31413
392.995,0.656532,1.6,-0.802365,4.03106
394.126,0.290619,1.13137,1.37673,5.66503
398.126,0.320092,3.29848,0.936828,10.1138
398.692,0.320092,3.04631,-1.19809,2.13277
402.692,0.320092,4.07922,-5.47842,2.31951
403.258,0.185824,4.41814,-4.14135,4.04508
410.458,0,2.82843,1.83666,1.21598
417.258,0.174821,3.57771,1.91407,17.2382
418.955,0.464238,3.39411,-1.62922,6.15856
420.555,0.693375,4,3.39133,-0.302551
421.12,1.58114,4.4,-0.178396,0.477003
421.52,1.58114,4.4,0.351577,-5.19966
422.086,0.23518,4.81664,3.33518,-5.35754
427.686,0,4.17612,0.187048,1.20654
433.686,0.220541,4.30813,-0.0491865,1.03756
434.252,0.5,4,0.50871,-0.189535
436.652,0.219265,4.66476,-0.168984,0.0737158
441.177,3.36448e-15,4,-0.0747406,0.10133
445.137,0.202444,3.04631,1.5177,2.45442
448.737,0.237826,3.68782,-0.049085,0.838517
451.566,0.410997,3.68782,-1.2942,-0.0375992
452.366,0.353553,3.77359,0.246288,1.4996
455.76,0.206901,3.93954,0.830256,-0.446562
459.76,0.158114,3.2,0.76515,-6.07362
465.416,5.5091e-16,3.1241,-0.166535,-0.154397
470.508,0.21243,1.78885,2.9617,-0.124133
472.508,0.21243,1.26491,0.237568,-17.3356
477.599,0.223607,1.2,-0.304122,0.610512
479.199,0.395285,1.6,0.0585816,-1.65416
481.462,0.358979,0.894427,0.118277,-0.217121
483.462,0.169907,1.64924,-0.521915,-0.1713
490.25,0.127495,2,0.432119,-1.58687
495.45,0.202444,2,-0.34471,-0.13667
497.713,0.358979,2,-0.127427,-0.762074
499.713,0.316228,1.69706,0.288297,0.880204
502.541,0.271964,1.78885,0.256322,-1.15884
505.341,0.338643,1.26491,-0.828351,-0.342957
507.038,0.285831,2,3.47005,4.10785
510.638,0.285831,1.69706,5.67708,0.622347
512.335,0.166667,2,0.411743,-1.99028
519.535,0,2,0.255902,2.41994
526.735,0.15021,1.69706,-1.12219,-2.73926
529.563,0.189253,1.44222,1.65443,-0.680965
534.763,0.189253,2.15407,-0.753585,-0.511866
537.592,0.199522,1.6,0.515365,1.58473
542.392,0.25,0.894427,-0.575758,-0.22163
543.523,0.25,1.6,-0.827712,-1.69276
548.323,0.231125,1.44222,0.11904,8.02237
550.02,0.527046,2.03961,-6.11665,-0.339027
551.22,0.857493,2,0.809533,-2.89835
551.786,0.438529,2.43311,0.910505,-1.08669
554.586,0.148217,4,-0.359252,-6.43238
561.94,0.159232,1.64924,-0.386631,-1.5109
563.94,0.282166,2.15407,-0.785134,-0.288565
567.334,0.246932,2,0.763686,-0.565322
570.134,0.302061,2,-0.94496,0.698509
572.397,0.358979,2.68328,-0.808335,0.313165
574.397,0.413803,3.2249,-0.520737,-0.595665
576.094,0.606339,3.04631,-0.380656,1.68149
576.894,0.49029,2.56125,0.320956,-0.540192
579.157,0.358979,3.2249,-0.0155872,0.117989
581.157,0.413803,3.2,-1.0739,1.04078
582.854,0.264999,3.57771,-0.470291,1.63746
586.854,0.141083,3.4176,0.000841416,-0.729038
593.642,1.83995e-15,3.2249,-nan,0.657135
600.43,1.13577e-16,2.15407,-1.0879,0.610041
607.218,0.169907,1.6,0.54856,-0.579068
609.218,0.254493,1.69706,0.0178858,-0.0646636
613.178,0.254493,1.13137,-0.356533,-0.137485
615.178,0.316228,1.64924,-0.442058,-0.404805
618.007,0.374766,1.44222,-0.229659,0.333014
619.207,0.289642,2.52982,0.049829,0.801275
623.166,0.289642,2,1.6904,0.518027
624.366,0.235702,1.6,6.33488,6.34673
629.458,0.192593,2.15407,-1.79912,-13.3092
632.258,0.179259,1.6,0.0814738,-1.5764
637.914,7.34546e-16,2.52982,1.37602,1.3087
643.006,0.124226,2.03961,-0.351539,-16.3244
650.206,0.136184,1.13137,6.12043,1.27737
654.165,0.271163,2.03961,-0.424566,9.15683
655.765,0.464238,1.26491,-6.08553,8.12277
657.462,0.527046,1.64924,-1.11071,7.19473
658.662,0.32686,1.6,-3.73629,0.84783
662.057,0.218844,2.43311,1.00634,1.83176
665.657,0.131306,2.52982,-2.20905,-4.52956
673.576,1.11577e-15,3.04631,4.26369,-1.28953
681.496,0.172311,1.2,-4.92965,-1.68815
681.896,0.383482,1.26491,-0.0981609,0.841805
685.29,0.32686,1.44222,0.0407552,-0.411504
686.49,0.184053,2.15407,1.58737,0.611677
693.278,6.46448e-16,1.64924,0.000181708,0.812314
699.501,1.2929e-15,1.64924,-0.535512,-0.511585
706.289,0.184053,1.78885,-0.287074,-1.05149
707.489,0.198575,2.56125,-0.349997,-1.55712
713.711,1.17963e-16,1.78885,-2.14719,-2.11906
719.934,0,1.13137,-0.656168,13.6299
726.156,0.190071,1.44222,-0.306818,-0.166803
727.756,0.165205,2.33238,-2.06307,-7.20474
735.11,8.93316e-17,2.82843,-0.297603,1.77865
742.464,0.108135,4.11825,0.616343,4.34227
749.264,0.174821,2.33238,1.48156,2.38276
750.961,0.231125,3.2,-3.76099,-2.32845
755.761,0,1.6,-0.32213,0.531982
760.561,0.231125,1.6,-0.396955,0.184678
762.258,0.193746,2.52982,-0.533171,-0.28723
768.258,0.153141,2.33238,0.893633,-3.25935
772.218,0.271163,2.68328,3.3827,-1.75494
773.818,0.343401,2.4,1.94296,4.15084
776.647,0.316228,2.43311,-1.82076,-2.53619
778.647,0.149805,2.52982,-0.215885,-3.77611
786.566,0,2.56125,-0.152827,-1.25589
794.486,0.155043,2,0.357435,0.400649
796.086,0.190071,1.44222,0.362,-0.290585
802.308,0.198575,1.26491,0.192398,1.07422
803.508,0.215565,0.894427,1.30511,-1.90814
809.165,5.5091e-16,2,-0.076443,-0.637321
814.256,0.223607,1.44222,-0.465603,3.54594
815.856,0.190071,2.03961,-0.0305625,0.039073
822.079,0.1676,1.78885,-0.120841,1.7784
824.879,0.271964,1.64924,-0.422517,-0.48632
827.707,0.210912,2,0.577831,2.85641
832.107,0.268802,1.64924,-0.304621,-0.882305
833.239,0.383482,2.4,-0.289003,0.698483
836.039,0.338643,1.44222,1.3456,-3.52896
837.736,0.285831,2,0.0312798,-1.46817
841.336,0.259938,1.44222,-1.57349,-1.70731
843.598,0.328266,1.44222,-0.119959,0.0424819
845.998,0.428746,1.26491,0.0993811,-9.23673
847.13,0.656532,2,-0.0920496,-1.15643
848.33,0.215565,1.69706,0.189587,-3.2575
853.987,0.164666,1.2,-1.03373,3.68104
857.587,0.285831,1.2,1.44887,-0.589867
859.284,0.464238,2,0.839884,-0.223155
860.884,0.343401,1.44222,-1.35514,-0.960914
863.712,0.144217,1.26491,-0.269556,0.735698
871.312,0.176556,1.26491,0.434896,-1.01559
871.878,0.23518,1.44222,-0.115145,-1.31855
877.478,0.179954,1.44222,0.00526464,4.01231
880.306,0.223607,1.26491,0.213803,1.16369
884.306,0.242821,1.6,-0.903599,2.96794
886.569,0.279508,2,0.0105001,-1.10466
889.769,0.213589,1.69706,0.67981,-0.144659
893.729,0.254493,1.78885,-1.08886,-1.07657
895.729,0.358979,1.44222,-0.385545,0.424478
897.992,0.202444,1.44222,0.205528,-0.0262483
903.192,0.202444,1.2,1.37534,2.43851
905.454,0.158114,1.69706,-0.843263,3.25833
912.654,0,1.2,0.853673,-3.27734
919.454,0.128501,1.64924,2.06975,2.8161
924.545,0.21243,2,-0.86216,-0.609829
926.545,0.413803,1.44222,-1.09862,-1.08201
928.243,0.464238,1.78885,-0.28965,-0.371446
929.843,0.343401,1.2,0.189007,-0.514351
932.671,0.343401,1.44222,-0.369218,-0.697883
934.271,0.395285,1.44222,-0.2155,-4.30751
936.534,0.279508,2,0.452124,1.10027
939.734,0.279508,1.26491,2.99809,-0.61666
941.996,0.395285,1.44222,-0.175373,-3.89471
943.596,0.271163,1.26491,-2.75594,-1.42348
947.556,0.239457,1.78885,1.91276,1.52399
949.956,0.292603,1.13137,0.415053,3.06312
952.785,0.316228,1.13137,-0.343702,-1.15163
954.785,0.485643,1.26491,0.551579,-0.116673
955.916,0.559017,1.2,-0.118013,3.57741
957.516,0.395285,1.2,-0.120817,-1.73535
959.779,0.279508,2.03961,0.0763133,-1.36757
962.979,0.390434,1.26491,-0.220786,2.02322
963.544,0.29361,1.6,-0.0595399,2.14795
967.944,0.268802,1.13137,-0.402217,-9.29667
969.076,0.160046,1.6,1.68999,-8.65854
977.076,0,3.2,0.151412,-0.00149566
984.676,0.159232,2.15407,-0.41296,-0.926386
986.373,0.338643,2.03961,-0.011248,1.06767
989.173,0.438529,1.2,0.132751,2.3086
989.739,0.390434,1.6,-0.312816,0.0827259
992.939,0.390434,2.43311,-0.186853,-0.319774
993.504,1.11803,2.8,-0.247883,1.13088
994.304,1.11803,2.56125,-0.830416,2.56674
994.87,0.390434,2.68328,-0.000921542,1.10107
998.07,0.346688,2.15407,-0.203544,-0.354342
999.201,0.980581,3.2249,0.0153049,-2.29147
999.601,1.58114,3.44093,0.587427,-0.392975
1000.17,1.58114,3.39411,-0.179363,-2.34693
1000.57,1.58114,3.57771,0.199622,-0.233487
1001.13,1.58114,3.4176,-0.677671,-0.541941
1001.53,0.19984,3.57771,-0.108111,0.0420674
1008.32,0.184053,2,-0.748371,3.46842
1009.52,0.857493,2.82843,-nan,-0.0800178
1010.09,0.438529,2.68328,-nan,0.0852229
1012.89,0.192593,2.4,0.43838,0.53321
1017.98,3.76908e-16,2.56125,-1.41329,-0.0208886
1023.07,0.202113,2.33238,-0.549187,0.623599
1025.47,0.219265,1.69706,0.873508,-1.59169
1029.99,0.207973,3.2,0.22956,-0.610564
1032.79,0.438529,1.64924,-1.41893,-nan
1033.36,0.438529,1.44222,-5.28086,-nan
